report_id,store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
8JUk,236628194444457636,12.75,23.95,140.45,0.00,0.00,2.00
8JUk,236849387439060411,12.47,23.99,118.33,0.00,0.00,0.00
8JUk,240097989922711621,10.43,23.93,140.12,0.00,0.00,0.00
8JUk,240843637090206550,0.00,0.00,0.00,58.77,23.96,142.31
8JUk,241103109799067101,9.83,23.81,140.83,0.00,0.00,0.00
8JUk,241823535668799681,11.38,23.95,142.31,0.00,0.00,0.00
8JUk,242711181652148953,7.18,23.89,141.40,0.00,0.00,0.00
8JUk,245176429888429088,0.00,0.00,35.92,7.87,23.90,105.72
8JUk,245857556228995031,0.00,11.04,62.26,58.22,12.91,57.01
8JUk,246415742806248437,11.08,23.95,141.76,0.00,0.00,0.00
8JUk,247257093746400410,11.73,23.95,142.45,0.00,0.00,0.00
8JUk,238655432931047196,8.63,23.97,129.65,0.00,0.00,0.00
8JUk,252637428915843079,0.00,0.00,101.45,10.33,23.94,40.83
8JUk,254936496134140541,59.65,23.93,142.00,0.00,0.00,0.00
8JUk,251178014192795913,9.25,23.92,142.03,0.00,0.00,0.00
8JUk,255570871642680471,0.00,0.00,0.00,10.50,23.86,140.85
8JUk,241881995341951220,57.22,4.99,110.77,0.00,17.99,17.99
8JUk,260465380976367836,7.90,23.96,124.45,0.00,0.00,0.00
8JUk,260481755251486255,4.62,23.89,141.98,0.00,0.00,0.00
8JUk,257009155878804554,6.02,23.89,141.97,0.00,0.00,0.00
8JUk,262328792080722116,0.00,0.00,0.00,59.22,23.84,141.74
8JUk,262841265877764950,7.78,23.88,133.20,0.00,0.00,8.11
8JUk,263527344476124274,9.33,23.86,143.37,0.00,0.00,0.00
8JUk,264348482398543112,11.05,23.95,142.23,0.00,0.00,0.00
8JUk,264845592669014577,7.13,23.88,140.12,0.00,0.00,0.00
8JUk,267283574377882519,0.17,23.90,143.44,0.00,0.00,0.00
8JUk,269542400927297147,8.85,23.87,128.47,0.00,0.00,0.00
8JUk,271958967638533554,11.60,23.96,139.99,0.00,0.00,0.00
8JUk,272819484819652364,5.43,23.79,141.90,0.00,0.00,0.00
8JUk,273328954584548114,10.73,23.82,141.73,0.00,0.00,0.00
8JUk,273630551366702124,0.00,0.00,0.00,58.47,23.97,142.45
8JUk,274110167960305880,57.00,21.89,133.72,0.00,2.02,8.49
8JUk,275283200330093891,4.85,23.84,141.45,0.00,0.00,0.00
8JUk,277448271614433550,0.00,0.00,0.00,5.10,23.92,141.61
8JUk,277585435283306347,12.25,23.98,140.76,0.00,0.00,0.00
8JUk,278905336815760718,11.15,23.96,119.26,0.00,0.00,0.00
8JUk,282961189894707970,12.73,23.99,142.29,0.00,0.00,0.00
8JUk,284087187623705685,0.00,0.00,0.00,8.92,23.99,141.74
8JUk,284503359166357286,0.00,9.99,84.96,5.62,13.87,55.61
8JUk,284602351764806848,114.67,18.86,109.94,0.00,0.00,0.00
8JUk,285718313949142954,4.75,23.91,141.59,0.00,0.00,0.00
8JUk,287678995978626199,9.75,23.98,140.66,0.00,0.00,0.00
8JUk,287937172882859474,0.00,0.00,0.00,9.50,23.87,142.10
8JUk,288312054891886470,12.60,28.75,168.93,0.00,0.00,0.00
8JUk,288474835112200401,11.52,14.78,75.55,0.00,9.21,66.13
8JUk,290952689368418289,0.00,0.00,38.00,12.88,23.99,104.44
8JUk,195360898806120509,57.18,23.90,142.11,0.00,0.00,0.00
8JUk,1230271030719125752,10.65,23.07,102.79,0.00,0.00,0.00
8JUk,1230398065636822664,4.73,23.08,163.37,0.00,0.00,0.00
8JUk,195848896712461417,0.00,0.00,34.77,12.52,23.99,107.60
8JUk,5302081913619141580,0.00,10.11,76.75,9.85,12.94,53.22
8JUk,5303602829240997549,0.30,23.03,127.24,0.00,0.00,0.00
8JUk,199226999564790180,7.90,23.79,141.60,0.00,0.00,0.00
8JUk,197110945004784568,0.00,0.00,0.00,14.87,47.93,238.18
8JUk,197325949503875091,0.00,0.00,0.00,5.95,23.86,117.60
8JUk,207146620966629535,5.17,23.88,143.55,0.00,0.00,0.00
8JUk,199260688075265634,20.60,1.70,17.20,0.00,0.00,12.43
8JUk,199385451887935082,57.33,23.91,134.78,0.00,0.00,0.00
8JUk,208974981066050916,0.00,0.00,0.00,9.35,23.97,143.72
8JUk,200183483618661437,0.00,0.00,0.00,0.82,23.84,140.95
8JUk,203579134595321677,59.37,23.85,142.57,0.00,0.00,0.00
8JUk,307252058134940443,11.68,23.96,116.16,0.00,0.00,0.00
8JUk,308085499022847293,12.30,23.97,142.38,0.00,0.00,0.00
8JUk,309735876414151577,12.20,23.98,142.61,0.00,0.00,0.00
8JUk,311711549401365736,4.35,23.94,141.82,0.00,0.00,0.00
8JUk,311745909071821197,0.00,2.98,49.89,7.17,20.91,90.24
8JUk,312955272398231324,8.08,13.91,68.55,0.00,0.00,0.00
8JUk,313197198264667562,9.92,23.95,142.37,0.00,0.00,0.00
8JUk,314673837493155820,0.00,0.00,0.00,59.40,23.97,141.64
8JUk,314822283402322856,11.82,23.93,141.17,0.00,0.00,0.00
8JUk,317582422283248435,4.40,23.83,142.12,0.00,0.00,0.00
8JUk,320491314504503293,23.17,0.00,60.42,0.00,1.95,4.80
8JUk,321846354188869985,9.08,23.98,142.41,0.00,0.00,0.00
8JUk,322058335023872951,8.65,15.92,79.39,0.00,0.00,0.00
8JUk,323267668953027520,8.28,23.93,142.18,0.00,0.00,0.00
8JUk,324302037458289853,5.90,23.86,140.00,0.00,0.00,0.00
8JUk,324582074486154866,9.58,23.99,142.37,0.00,0.00,0.00
8JUk,324737130170744338,0.00,0.00,33.92,10.60,23.95,108.52
8JUk,325241388429901200,9.82,23.93,114.43,0.00,0.00,27.98
8JUk,315743336432337622,57.40,22.99,128.82,0.00,0.00,0.00
8JUk,326856182599942694,0.00,0.00,0.00,5.55,23.82,117.47
8JUk,327950348653727288,0.00,0.00,0.00,58.37,23.96,142.30
8JUk,326547313497330132,58.18,23.95,142.30,0.00,0.00,0.00
8JUk,328487196413370199,58.03,23.93,140.22,0.00,0.00,2.00
8JUk,329697652999698776,9.42,23.97,141.99,0.00,0.00,0.00
8JUk,330168536625620852,0.00,0.00,0.00,2.37,23.83,142.04
8JUk,333184290404283337,8.60,23.85,141.77,0.00,0.00,0.00
8JUk,333363422900954809,11.52,23.85,119.17,0.00,0.00,0.00
8JUk,335433652023039477,0.00,0.00,0.00,57.93,23.97,141.61
8JUk,336149300159952357,59.57,23.98,142.44,0.00,0.00,0.00
8JUk,336639024708327862,0.00,0.00,0.00,8.63,23.97,141.68
8JUk,337562436345260694,0.00,0.00,0.00,12.17,23.84,141.39
8JUk,338646328301262317,0.00,0.00,0.00,11.53,23.80,143.39
8JUk,339145205428107483,0.75,23.88,141.34,0.00,0.00,0.00
8JUk,339341849757536438,0.00,0.00,0.00,8.68,23.97,141.66
8JUk,339527900019182494,12.60,23.98,143.31,0.00,0.00,0.00
8JUk,342546232744333035,0.00,0.16,40.68,12.68,23.82,94.23
8JUk,342584710145388139,58.00,23.96,142.41,0.00,0.00,0.00
8JUk,346261891298810103,0.00,0.00,0.00,0.45,23.80,141.84
8JUk,346366105785481385,5.25,23.79,141.69,0.00,0.00,0.00
8JUk,348297205658335039,11.33,19.90,138.07,0.00,4.06,4.06
8JUk,348393327834868246,57.33,23.84,143.48,0.00,0.00,0.00
8JUk,349245600555243543,1.08,23.93,140.92,0.00,0.00,0.00
8JUk,349491419735784823,11.95,23.98,142.44,0.00,0.00,0.00
8JUk,350127637691106807,11.22,23.95,126.00,0.00,0.00,0.00
8JUk,350654073670694453,0.42,23.93,117.91,0.00,0.00,0.00
8JUk,350773269257067104,59.95,23.97,142.08,0.00,0.00,0.00
8JUk,354909702665066788,0.00,0.00,0.00,6.68,23.90,94.00
8JUk,358227328268464841,57.35,23.96,141.70,0.00,0.00,0.00
8JUk,361716544185527290,12.25,23.98,143.38,0.00,0.00,0.00
8JUk,361809616932301093,11.38,19.86,126.14,0.00,4.11,15.93
8JUk,362168314264335781,0.00,0.00,0.00,0.72,23.83,141.00
